Organisation Code ,Organisation Name ,PAN SHA code ,SHA code ,Address Line 1 ,Address Line 2 ,Address Line 3 ,Address Line 4 ,Address Line 5 ,Postcode ,Open Date ,Close Date ,Status Code ,Organisation Sub-Type code ,Parent Organisation Code ,Join Parent Date ,Left Parent Date ,Contact Telephone Number ,Available for future use ,Available for future use ,Available for future use ,Amended record indicator ,Available for future use ,Current Care Organisation Code ,Available for future use ,Available for future use ,Available for future use 
FA702,AYSHAS PHARMACY,Y52,Q39,WINDSOR BRIDGE HOUSE,WINDSOR BRIDGE ROAD,BATH,"","",BA2 3AY,20110725,"",A,1,P3L4,20110725,"",01225 571015,"","","",0,"",5FL,"","",""
FAL03,BOOTS UK LIMITED,Y52,Q39,33-35 WESTGATE STREET,BATH,"","","",BA1 1EL,19961202,"",A,1,P08F,20040401,"",01225 482069,"","","",0,"",5FL,"","",""
FAT11,LARKHALL PHARMACY,Y52,Q39,1 ST SAVIOURS ROAD,LARKHALL,BATH,"","",BA1 6RT,19910801,20090831,C,1,P14J,20040401,20090831,"","","","",0,"",5FL,"","",""
FCJ56,MG PHARMACY WIDCOMBE,Y52,Q39,4A WIDCOMBE PARADE,WIDCOMBE,BATH,"","",BA2 4JT,19930721,20110630,C,1,P024,20040401,20110630,01225 447924,"","","",0,"",5FL,"","",""
FDJ65,JOHNS PR,Y52,Q39,201 LONDON ROAD EAST,BATHEASTON,BATH,"","",BA1 7NB,19850101,20040527,C,1,"","",20040527,01225 858753,"","","",0,"",5FL,"","",""
FDL00,SAINSBURY'S PHARMACY,Y52,Q39,J SAINSBURY STORE,GREEN PARK STATION,GREEN PARK ROAD,BATH,"",BA1 2DR,19980526,"",A,1,P28F,20040401,"",01225 332046,"","","",0,"",5FL,"","",""
FE692,THE JOHN PREDDY COMPANY LIMITED,Y52,Q39,41-42 MOORLAND ROAD,OLDFIELD PARK,BATH,"","",BA2 3PN,19810301,"",A,1,P13G,20040401,"","","","","",0,"",5FL,"","",""
FEM81,WILSON LUTHER LTD,Y52,Q39,22 NEWBRIDGE ROAD,BATH,"","","",BA1 3JZ,19480101,20061028,C,1,P09J,20040401,20061028,"","","","",0,"",5FL,"","",""
FF685,JOHNS PR,Y52,Q39,87 HIGH ST,TWERTON,BATH,"","",BA2 1DE,19950901,20040527,C,1,"","",20040527,01225 423382,"","","",0,"",5FL,"","",""
FFX95,DUDLEY TAYLOR PHARMACIES LTD,Y52,Q39,87 BRADFORD ROAD,COMBE DOWN,BATH,"","",BA2 5BP,20020927,"",A,1,P00G,20040401,"",01225 833640,"","","",0,"",5FL,"","",""
FG918,TIMSBURY PHARMACY,Y52,Q39,HIGH STREET,TIMSBURY,BATH,"","",BA2 0HT,19850801,20080330,C,1,P04K,20040401,20080330,01761 470476,"","","",0,"",5FL,"","",""
FGA69,ODD DOWN PHARMACY,Y52,Q39,88 FROME ROAD,ODD DOWN,"",BATH,"",BA2 2PP,20001201,20061231,C,1,P662,20040401,20061231,01225 833003,"","","",0,"",5FL,"","",""
FGQ09,YOUR LOCAL BOOTS PHARMACY,Y52,Q39,84-85 HIGH STREET,TWERTON,BATH,"","",BA2 1DE,20040527,"",A,1,P26F,20040401,"",01225 423382,"","","",0,"",5FL,"","",""
FH444,PEASEDOWN PHARMACY,Y52,Q39,15 BATH ROAD,PEASEDOWN ST.JOHN,BATH,"","",BA2 8DH,19941003,20091201,C,1,P42F,20040401,20091201,01761 432235,"","","",0,"",5FL,"","",""
FH641,THE CO-OPERATIVE PHARMACY,Y52,Q39,3 CLAREMONT TERRACE,FAIRFIELD PARK,BATH,"","",BA1 6EH,20040621,"",A,1,P30F,20040401,"",01225 319445,"","","",0,"",5FL,"","",""
FHE77,LLOYDSPHARMACY,Y52,Q39,COMBE DOWN SURGERY,COMBE DOWN HOUSE,"THE AVENUE,COMBE DOWN",BATH,"",BA2 5EG,19980101,"",A,1,P07F,20040401,"",01225 833195,"","","",0,"",5FL,"","",""
FHH40,SHAUNAKS PHARMACY,Y52,Q39,15 BATH ROAD,PEASEDOWN ST.JOHN,BATH,"","",BA2 8DH,20091202,"",A,1,P03C,20091202,"",01761 432235,"","","",0,"",5FL,"","",""
FJL09,SUPERDRUG,Y52,Q39,30-32 WESTGATE STREET,BATH,"","","",BA1 1EL,19951101,"",A,1,P31F,20040401,"",01225 336198,"","","",0,"",5FL,"","",""
FKE13,LIFESTYLE PHARMACY,Y52,Q39,14 NEW BOND STREET,BATH,"","","",BA1 1BE,19971101,"",A,1,P18L,20040401,"",01225 465576,"","","",0,"",5FL,"","",""
FKH73,WIDCOMBE PHARMACY,Y52,Q39,4A WIDCOMBE PARADE,WIDCOMBE,BATH,"","",BA2 4JT,20110701,"",A,1,P51X,20110701,"",01225 447924,"","","",0,"",5FL,"","",""
FL587,WILSON LUTHER LTD,Y52,Q39,28 BROCK STREET,BATH,"","","",BA1 2LN,19480101,20061027,C,1,P09J,20040401,20061027,"","","","",0,"",5FL,"","",""
FL611,CLAREMONT PHARMACY,Y52,Q39,3 CLAREMONT TERRACE,CAMDEN ROAD,FAIRFIELD PARK,BATH,"",BA1 6EH,19960301,20040621,C,1,"","",20040621,01225 319445,"","","",0,"",5FL,"","",""
FM191,LLOYDSPHARMACY,Y52,Q39,88 FROME ROAD,ODD DOWN,BATH,"","",BA2 2PP,20071001,"",A,1,P07F,20071001,"",01225 833003,"","","",0,"",5FL,"","",""
FMX66,WELLSWAY PHARMACY,Y52,Q39,2 HAYES PLACE,BEAR FLAT,"",BATH,"",BA2 4QW,20010430,"",A,1,P280,20040401,"",01225 427456,"","","",0,"",5FL,"","",""
FN163,BOOTS UK LIMITED,Y52,Q39,MSU1,THE SOUTHGATE CENTRE,BATH,"","",BA1 1AT,19480101,"",A,1,P08F,20040401,"",01225 464402,"","","",0,"",5FL,"","",""
FN326,YOUR LOCAL BOOTS PHARMACY,Y52,Q39,100 MOUNT ROAD,SOUTHDOWN,BATH,"","",BA2 1LN,20040901,"",A,1,P26F,20040401,"",01225 423391,"","","",0,"",5FL,"","",""
FQ484,THE BATHWICK PHARMACY,Y52,Q39,THE BATHWICK PHARMACY,8 ARGYLE STREET,BATH,"","",BA2 4BQ,19831201,"",A,1,P51X,20040401,"","","","","",0,"",5FL,"","",""
FQ883,LLOYDS PHARMACY,Y52,Q39,88 FROME ROAD,"",BATH,"","",BA2 2PP,20070101,20070930,C,1,P0EQ,20070101,20070930,"","","","",0,"",5FL,"","",""
FRM92,TIMSBURY PHARMACY,Y52,Q39,HIGH STREET,TIMSBURY,BATH,"","",BA2 0HT,20080331,"",A,1,P1H5,20080331,"",01761 470476,"","","",0,"",5FL,"","",""
FT344,JHOOTS PHARMACY,Y52,Q39,28 BROCK STREET,"",BATH,"","",BA1 2LN,20061028,"",A,1,P0HG,20061028,"",01225 426998,"","","",0,"",5FL,"","",""
FTE07,YOUR LOCAL BOOTS PHARMACY,Y52,Q39,125 HIGH STREET,UPPER WESTON,BATH,"","",BA1 4DF,19920801,"",A,1,P26F,20040401,"",01225 421644,"","","",0,"",5FL,"","",""
FVD88,YOUR LOCAL BOOTS PHARMACY,Y52,Q39,201 LONDON ROAD EAST,BATHEASTON,BATH,"","",BA1 7NB,20040527,"",A,1,P26F,20040401,"",01225 858753,"","","",0,"",5FL,"","",""
