Organisation Code ,Organisation Name ,PAN SHA Code ,SHA code ,Address Line 1 ,Address Line 2 ,Address Line 3 ,Address Line 4 ,Address Line 5 ,Postcode ,Open Date ,Close Date ,Status Code ,Organisation Sub-Type code ,Parent Organisation Code ,Join Parent Date ,Left Parent Date ,Contact Telephone Number ,Contact Name ,Available for future use ,Available for future use ,Amended record indicator ,Available for future use ,Available for future use ,Available for future use ,Practice Type,Available for future use 
L81020,WIDCOMBE SURGERY,Y52,Q39,WIDCOMBE SURGERY,3-4 WIDCOMBE PARADE,WIDCOMBE,BATH,"",BA2 4JT,19740401,"",A,B,5FL,20010401,"",01225 310883,"","","",0,"","","",4,""
L81027,BATHEASTON MEDICAL CENTRE,Y52,Q39,BATHEASTON MEDICAL CENTRE,COALPIT ROAD,BATHEASTON,BATH,"",BA1 7NP,19740401,"",A,B,5FL,20010401,"",01225 858686,"","","",0,"","","",4,""
L81039,OLDFIELD SURGERY,Y52,Q39,OLDFIELD SURGERY,45 UPPER OLDFIELD PARK,BATH,"","",BA2 3HT,19740401,"",A,B,5FL,20010401,"",01225 421137,"","","",0,"","","",4,""
L81049,NUMBER 18 SURGERY,Y52,Q39,NUMBER 18 SURGERY,UPPER OLDFIELD PARK,BATH,"","",BA2 3JZ,19740401,"",A,B,5FL,20010401,"",01225 427402,"","","",1,"","","",4,""
L81065,COMBE DOWN SURGERY,Y52,Q39,COMBE DOWN HOUSE,"THE AVENUE, COMBE DOWN",BATH,"","",BA2 5EG,19740401,"",A,B,5FL,20010401,"",01225 832226,"","","",0,"","","",4,""
L81068,THE PULTENEY PRACTICE,Y52,Q39,PULTENEY STREET SURGERY,35 GREAT PULTENEY STREET,BATH,"","",BA2 4BY,19740401,"",A,B,5FL,20010401,"",01225 464187,"","","",0,"","","",4,""
L81069,ST.MICHAEL'S SURGERY,Y52,Q39,ST.MICHAEL'S SURGERY,"WALWYN CL,TWERTON-ON-AVON",BATH,"","",BA2 1ER,19740401,"",A,B,5FL,20010401,"",01225 428277,"","","",0,"","","",4,""
L81070,NEWBRIDGE SURGERY,Y52,Q39,NEWBRIDGE SURGERY,129 NEWBRIDGE HILL,BATH,"","",BA1 3PT,19740401,"",A,B,5FL,20010401,"",01225 425807,"","","",0,"","","",4,""
L81071,FAIRFIELD PARK HEALTH CENTRE,Y52,Q39,FAIRFIELD PARK HEALTH CTR,"TYNING LANE, CAMDEN ROAD",BATH,"","",BA1 6EA,19740401,"",A,B,5FL,20010401,"",01225 331616,"","","",0,"","","",4,""
L81080,ST.JAMES'S SURGERY,Y52,Q39,ST.JAMES'S SURGERY,NORTHAMPTON BUILDINGS,BATH,"","",BA1 2SR,19740401,"",A,B,5FL,20010401,"",01225 422911,"","","",0,"","","",4,""
